skuId,refId,markup,listPrice,basePrice,costPrice
,93389364,,70,70,70
,91270927,,70,70,70
,93492492,,69.50,59.99,59.99
,48108532,,69.50,59.99,59.99
,95131230,,69.50,59.99,59.99
,95930141,,69.50,59.99,59.99
,96659691,,69.50,59.99,59.99
,80579805,,69.50,59.99,59.99
,95597029,,69.50,59.99,59.99
,95478546,,69.50,59.99,59.99
,95765258,,69.50,59.99,59.99
,95841940,,69.50,59.99,59.99
,97187929,,69.50,59.99,59.99
,95192136,,69.50,59.99,59.99
,95701806,,65,65,65
,92022903,,65,65,65
,96417936,,65,65,65
,95701190,,65,65,65
,87140582,,65,65,65
,95192246,,65,65,65
,96213340,,65,65,65
,96213364,,65,65,65
,94125208,,65,65,65
,96475741,,65,65,65
,95701709,,65,65,65
,81684031,,65,65,65
,92023245,,65,65,65
,92384102,,65,65,65
,93462278,,65,65,65
,95989348,,65,65,65
,96030066,,65,65,65
,94685670,,65,65,65
,92912175,,69,69,69
,94338241,,69,69,69
,92023232,,69,69,69
,92022858,,69,69,69
,69851895,,69,69,69
,94928127,,69,69,69
,87133028,,69,69,69
,86663973,,69,69,69
,95191207,,69,69,69
,97082162,,69,69,69
,96287342,,69,69,69
,94340120,,69,69,69
,94245610,,69,69,69
,96481013,,69,69,69
,93060370,,69,69,69
,32448535,,69,69,69
,85087155,,69,69,69
,95929222,,69,69,69
,94114286,,69,69,69
,96062650,,69,69,69
,88254700,,69,69,69
,94340035,,69,69,69
,96049252,,69,69,69
,94338662,,69,69,69
,59812035,,39.95,39.95,39.95
,86247844,,39.95,39.95,39.95
,85381043,,39.95,39.95,39.95
,95701093,,39.95,39.95,39.95
,85382749,,39.95,39.95,39.95
,94124973,,39.95,39.95,39.95
,96068993,,39.95,39.95,39.95
,86602643,,39.95,39.95,39.95
,81688378,,39.95,39.95,39.95
,92023148,,39.95,39.95,39.95
,91270572,,39.95,39.95,39.95
,97082175,,39.95,39.95,39.95
,95187685,,40,40,40
,96144349,,40,40,40
,92829594,,40,40,40
,92911751,,40,40,40
,96027929,,40,40,40
,94394454,,40,40,40
,96079859,,40,40,40
,96017065,,40,40,40
,95681851,,40,40,40
,87134476,,40,40,40
,95377007,,40,40,40
,94492917,,40,40,40
,95930138,,79,79,79
,94223695,,79,79,79
,95393906,,79,79,79
,85953738,,79,79,79
,96475548,,79,79,79
,59811625,,79,79,79
,96410373,,79,79,79
,92911749,,79,79,79
,93504324,,79,79,79
,96068423,,79,79,79
,96065180,,79,79,79
,94124958,,79,79,79
,96475765,,79,79,79
,93952485,,79,79,79
,95938755,,79,79,79
,87133070,,79,79,79
,91692204,,79,79,79
,96341142,,79,79,79
,96143937,,90,90,90
,95946111,,90,90,90
,96393114,,90,90,90
,93952458,,90,90,90
,96062592,,90,90,90
,69851474,,90,90,90
,94125071,,90,90,90
,95329331,,90,90,90
,95931055,,90,90,90
,87970498,,90,90,90
,82539803,,90,90,90
,97028175,,90,90,90
,94245443,,90,90,90
,95393851,,90,90,90
,96028476,,90,90,90
,88516394,,90,90,90
