SkuRefId,Name,Value
89796763,Size,12.5
92022630,Size,13
95938703,Size,14
97186811,Size,6
32448508,Size,6.5
90766525,Size,7
95938200,Size,7.5
92912187,Size,8
94491262,Size,8.5
94338308,Size,9
94394890,Size,9.5
97082053,Size,10
93389900,Size,10.5
94125138,Size,11
95946135,Size,11.5
94394876,Size,12
94956780,Size,12.5
94134308,Size,13
96068339,Size,14
97028135,Size,6
95929234,Size,6.5
96033337,Size,7
96415568,Size,7.5
95702065,Size,8
95397092,Size,8.5
97186862,Size,9
95767871,Size,9.5
96393126,Size,10
91270993,Size,10.5
95369382,Size,11
96172911,Size,11.5
96213146,Size,12
91081239,Size,12.5
95191534,Size,13
94340227,Size,14
94295662,Size,6.5
85953701,Size,7
96405086,Size,7.5
84486306,Size,8
87099969,Size,8.5
96490700,Size,9
92912220,Size,9.5
94134608,Size,10
94134611,Size,10.5
95681888,Size,11
96062171,Size,11.5
96062183,Size,12
95701081,Size,12.5
96213106,Size,13
95264091,Size,14
95369449,Size,6
94475947,Size,6.5
88254822,Size,7
96062553,Size,7.5
92383200,Size,8
94338648,Size,8.5
96213497,Size,9
95930969,Size,9.5
93462323,Size,10
93060246,Size,10.5
87538385,Size,11
95397518,Size,11.5
95842351,Size,12
94114247,Size,12.5
91693243,Size,13
96405201,Size,14
92022790,Size,6
94476166,Size,6.5
94338795,Size,7
94338878,Size,7.5
96166198,Size,8
93951314,Size,8.5
42956179,Size,9
95936196,Size,9.5
94340087,Size,10
94907041,Size,10.5
96049307,Size,11
81684017,Size,11.5
92023381,Size,12
81688365,Size,12.5
96471912,Size,13
97028148,Size,14
61019592,Size,6
94124946,Size,6.5
95809078,Size,7
93952497,Size,7.5
95933748,Size,8
96481459,Size,8.5
95762646,Size,9
94897249,Size,9.5
94394415,Size,10
92830268,Size,10.5
80715714,Size,11
94468229,Size,11.5
94340239,Size,12
96364170,Size,12.5
81688204,Size,13
95989241,Size,14
90766591,Size,6
94338838,Size,6.5
95369258,Size,7
94394836,Size,7.5
95376215,Size,8
94339564,Size,8.5
93502747,Size,9
69851759,Size,9.5
96617603,Size,10
94224860,Size,10.5
95933787,Size,11
92820202,Size,11.5
94124660,Size,12
87099862,Size,12.5
93060221,Size,13
95376951,Size,14
93503952,Size,6
80331770,Size,6.5
90052111,Size,7
96213203,Size,7.5
96212914,Size,8
95675024,Size,8.5
90053938,Size,9
95591474,Size,9.5
94340050,Size,10
56361174,Size,10.5
96031175,Size,11
94573373,Size,11.5
95681863,Size,12
56361159,Size,12.5
95264217,Size,13
91270448,Size,14
